id,date,vn_position,vn_stream_count,global_position,global_stream_count
014DA3BdnmD3kI5pBogH7c,Total,,21656904.0,,
014DA3BdnmD3kI5pBogH7c,Peak,4.0,32783.0,,
015GG73Q1VmvLAiPIF1w8O,Total,,56293.0,,
015GG73Q1VmvLAiPIF1w8O,Peak,126.0,31808.0,,
015cWxefajYwEUZodBvpfn,Total,,1056112.0,,
015cWxefajYwEUZodBvpfn,Peak,36.0,61730.0,,
01WDJ9gcaXFuNzY5ir9CaE,Total,,1713175.0,,
01WDJ9gcaXFuNzY5ir9CaE,Peak,3.0,31330.0,,
031jyNUkkD02vrkgZDGJxu,Total,,7621754.0,,
031jyNUkkD02vrkgZDGJxu,Peak,1.0,44831.0,,
04Mm3BineGdy0oNv8NivQT,Total,,2167298.0,,
04Mm3BineGdy0oNv8NivQT,Peak,2.0,50469.0,,
04bm7NsIhRfTlLGDoKMEw8,Total,,3508535.0,,
04bm7NsIhRfTlLGDoKMEw8,Peak,2.0,43016.0,,
05X3a0YGmS1rbH50aL8lGF,Total,,14491428.0,,
05X3a0YGmS1rbH50aL8lGF,Peak,7.0,45148.0,,
05mKTB04qMaCRHwuVf9HGv,Total,,217176.0,,
05mKTB04qMaCRHwuVf9HGv,Peak,62.0,13207.0,,
0669gFIK8dYK9GGQ0K0QNF,Total,,10421833.0,,
0669gFIK8dYK9GGQ0K0QNF,Peak,5.0,142778.0,,
06mzDTYkBVBfWlzinhom9I,Total,,40979.0,,
06mzDTYkBVBfWlzinhom9I,Peak,98.0,13833.0,,
07b849p3xuq03EdlAo4CKX,Total,,6839873.0,,
07b849p3xuq03EdlAo4CKX,Peak,33.0,23907.0,,
07d8eaOuAWdC0DANq3tdPd,Total,,7062286.0,,
07d8eaOuAWdC0DANq3tdPd,Peak,12.0,92294.0,,
07tiPBhMqiKqHowwqDBtfK,Total,,4718465.0,,
07tiPBhMqiKqHowwqDBtfK,Peak,20.0,55631.0,,
08GUMwJRpisuxHGyRzoSuu,Total,,8362940.0,,
08GUMwJRpisuxHGyRzoSuu,Peak,9.0,98721.0,,
08RDjwmSMLc6QPmxrxXDq0,Total,,469904.0,,
08RDjwmSMLc6QPmxrxXDq0,Peak,29.0,16123.0,,
0AJi38NumMDXqo8pRw6zdh,Total,,11553828.0,,
0AJi38NumMDXqo8pRw6zdh,Peak,3.0,43268.0,,
0B1ZnYwYefkNhZeE8ZQpv5,Total,,6190115.0,,
0B1ZnYwYefkNhZeE8ZQpv5,Peak,46.0,23540.0,,
0Bk064jKjWtfdOD8UkcImR,Total,,6359001.0,,
0Bk064jKjWtfdOD8UkcImR,Peak,17.0,12212.0,,
0Cy7uOfTjJrmHkNEPBBZxf,Total,,10046123.0,,
0Cy7uOfTjJrmHkNEPBBZxf,Peak,1.0,55827.0,,
0E13SojrSD7WpPyvzqZaKR,Total,,59879.0,,
0E13SojrSD7WpPyvzqZaKR,Peak,135.0,4918.0,,
0Ekfndt5fc7A4toIU87X0X,Total,,2648.0,,
0Ekfndt5fc7A4toIU87X0X,Peak,189.0,2648.0,,
0HAfl1uPBf5qTMiuAi6Ym7,Total,,6070039.0,,
0HAfl1uPBf5qTMiuAi6Ym7,Peak,26.0,75603.0,,
0HH3DAz5feqJmDA50yQ52M,Total,,213068.0,,
0HH3DAz5feqJmDA50yQ52M,Peak,74.0,15215.0,,
0IaQqjhhn7Ls6jSQX2MoQ1,Total,,180658.0,,
0IaQqjhhn7Ls6jSQX2MoQ1,Peak,113.0,31136.0,,
0J2otOvMdg62gVMMjwOvSK,Total,,2783758.0,,
0J2otOvMdg62gVMMjwOvSK,Peak,6.0,19305.0,,
0JKEP4dB1riE6l7Kq5kJm1,Total,,1382040.0,,
0JKEP4dB1riE6l7Kq5kJm1,Peak,3.0,44031.0,,
0KnWLhf5GqPEC4m7sHhxrY,Total,,170303.0,,
0KnWLhf5GqPEC4m7sHhxrY,Peak,134.0,18849.0,,
0Lf0ydJp4nbcEkYgPtIUuD,Total,,4269147.0,,
0Lf0ydJp4nbcEkYgPtIUuD,Peak,122.0,35926.0,,
0MHnLceZUrdtNGydSnBM6J,Total,,15689.0,,
0MHnLceZUrdtNGydSnBM6J,Peak,87.0,3531.0,,
0MOxfxgqBnCmy63x58ChdP,Total,,56670.0,,
0MOxfxgqBnCmy63x58ChdP,Peak,116.0,5996.0,,
0N0mWZBWhAcb0SIqYmv00k,Total,,549846.0,,
0N0mWZBWhAcb0SIqYmv00k,Peak,32.0,50816.0,,
0NTtPK7yNN4xT1YQTMxu9y,Total,,31034.0,,
0NTtPK7yNN4xT1YQTMxu9y,Peak,184.0,3081.0,,
0NbEWzChj7p6A6ZiyPvEot,Total,,251991.0,,
0NbEWzChj7p6A6ZiyPvEot,Peak,69.0,10851.0,,
0NbOsvRJuzKhaDlPxTNFih,Total,,47902.0,,
0NbOsvRJuzKhaDlPxTNFih,Peak,8.0,3576.0,,
0OIed6UFpfT2nW4BffD7Js,Total,,1436634.0,,
0OIed6UFpfT2nW4BffD7Js,Peak,8.0,86051.0,,
0ON38MgDpAMcRC9ULx7NOf,Total,,86781.0,,
0ON38MgDpAMcRC9ULx7NOf,Peak,78.0,15496.0,,
0OYyivKo7eLtmHzYagW60S,Total,,669964.0,,
0OYyivKo7eLtmHzYagW60S,Peak,111.0,8647.0,,
0Pf2hR940vgS9iVk4CriZX,Total,,451040.0,,
0Pf2hR940vgS9iVk4CriZX,Peak,64.0,24259.0,,
0QIBqBajZLLcWfL6mpVsN3,Total,,3040151.0,,
0QIBqBajZLLcWfL6mpVsN3,Peak,45.0,53130.0,,
0R6NfOiLzLj4O5VbYSJAjf,Total,,,,773323984.0
0R6NfOiLzLj4O5VbYSJAjf,Peak,,,1.0,6012846.0
0RKggS4he8LozKqMv09IrM,Total,,2922831.0,,
0RKggS4he8LozKqMv09IrM,Peak,24.0,54474.0,,
0RRaMSF6sPNAvMTntUiv8m,Total,,461601.0,,
0RRaMSF6sPNAvMTntUiv8m,Peak,71.0,34103.0,,
0SLzsfxED15vyUccX4bCqo,Total,,10543578.0,,
0SLzsfxED15vyUccX4bCqo,Peak,4.0,153506.0,,
0SMpkybKsjUeONDdUCW69e,Total,,736545.0,,
0SMpkybKsjUeONDdUCW69e,Peak,104.0,28807.0,,
0SipHvQl82LyuU4t9Zkf8Z,Total,,583464.0,,
0SipHvQl82LyuU4t9Zkf8Z,Peak,124.0,25163.0,,
0SmQ0UWeiHKQtxUej4Rem6,Total,,10304283.0,,
0SmQ0UWeiHKQtxUej4Rem6,Peak,5.0,39367.0,,
0TAEZOaoZx5LBXEkePNrt4,Total,,297587.0,,
0TAEZOaoZx5LBXEkePNrt4,Peak,23.0,21572.0,,
0TOsszupHDNUvzadopZv3A,Total,,39254.0,,
0TOsszupHDNUvzadopZv3A,Peak,143.0,8656.0,,
0TTJufXrJgRZUUV7brd2hT,Total,,215475.0,,
0TTJufXrJgRZUUV7brd2hT,Peak,26.0,14663.0,,
0TcbY7JJzalPExhhqpgAQM,Total,,538667.0,,
0TcbY7JJzalPExhhqpgAQM,Peak,94.0,28666.0,,
0UkWvPZauWiBjWGuXFhZQn,Total,,549143.0,,
0UkWvPZauWiBjWGuXFhZQn,Peak,122.0,6282.0,,
0VBv6oyMgeEBOIysaSV9aE,Total,,63544.0,,
0VBv6oyMgeEBOIysaSV9aE,Peak,136.0,15315.0,,
0WjdaO545q9Qn4SQtzRQu9,Total,,853505.0,,
0WjdaO545q9Qn4SQtzRQu9,Peak,52.0,48495.0,,
0X28PqBpbQhWdi4usYw0w5,Total,,17666456.0,,
0X28PqBpbQhWdi4usYw0w5,Peak,1.0,185410.0,,
0Y2ipMuhAlOnIkTXcCKWlL,Total,,267801.0,,
0Y2ipMuhAlOnIkTXcCKWlL,Peak,97.0,32809.0,,
0ZJcKRLc0dZp24G6MkvSnq,Total,,31660.0,,
0ZJcKRLc0dZp24G6MkvSnq,Peak,19.0,2509.0,,
0ZP4bO2ywAv44HiEzzHaq5,Total,,9638859.0,,
0ZP4bO2ywAv44HiEzzHaq5,Peak,2.0,47044.0,,
0aOOB0EuwnWuoAqzR4THA9,Total,,482296.0,,
0aOOB0EuwnWuoAqzR4THA9,Peak,9.0,22604.0,,
0b3N9S5FHJ4h9k7IsKDVSy,Total,,733419.0,,
0b3N9S5FHJ4h9k7IsKDVSy,Peak,91.0,6760.0,,
0bgJPIvefuRnEU4MNJuJSA,Total,,4660353.0,,
0bgJPIvefuRnEU4MNJuJSA,Peak,1.0,89379.0,,
0bqiS4Vi6vWtOj9woYfAJM,Total,,233006.0,,
0bqiS4Vi6vWtOj9woYfAJM,Peak,87.0,29185.0,,
0d0X8B4ZahEeCBdJ6JHPeN,Total,,86548.0,,
0d0X8B4ZahEeCBdJ6JHPeN,Peak,101.0,18364.0,,
0d6dbFvKczX1Us3J7TsMMv,Total,,8800161.0,,
0d6dbFvKczX1Us3J7TsMMv,Peak,7.0,28229.0,,
0dAAZHmjRcE3yEjeBZQvCg,Total,,1190598.0,,
0dAAZHmjRcE3yEjeBZQvCg,Peak,14.0,49687.0,,
0dBKcPEAsdxWJsqNDNHcPz,Total,,8816188.0,,
0dBKcPEAsdxWJsqNDNHcPz,Peak,13.0,94799.0,,
0dHUKYXP9PJMN0RpR9dpFR,Total,,6906948.0,,
0dHUKYXP9PJMN0RpR9dpFR,Peak,1.0,40918.0,,
0eM8iGaE97UCf9yYbDiMA4,Total,,701796.0,,
0eM8iGaE97UCf9yYbDiMA4,Peak,91.0,29019.0,,
0ezCZF82GYZFV1W6W1os7N,Total,,3379447.0,,
0ezCZF82GYZFV1W6W1os7N,Peak,9.0,92205.0,,
0f4VzzQxojITMkyHY6LCci,Total,,497218.0,,
0f4VzzQxojITMkyHY6LCci,Peak,107.0,25587.0,,
0g7d8Y9Y2BP8qFZDzngnSz,Total,,792044.0,,
0g7d8Y9Y2BP8qFZDzngnSz,Peak,43.0,36473.0,,
0gKSm3EHJhyFeolcmO6mYS,Total,,74110.0,,
0gKSm3EHJhyFeolcmO6mYS,Peak,169.0,6662.0,,
0glDqpRJ9WyPHI1AXk0GcD,Total,,31485.0,,
0glDqpRJ9WyPHI1AXk0GcD,Peak,95.0,7276.0,,
0glPN37HvVqCUh1qCWBKo7,Total,,364495.0,,
0glPN37HvVqCUh1qCWBKo7,Peak,14.0,25544.0,,
0gzpqwLf1jhNjnSJEyweAX,Total,,21064668.0,,
0gzpqwLf1jhNjnSJEyweAX,Peak,9.0,67056.0,,
0hGuiTI3U6XjelBbPf4YqG,Total,,357409.0,,
0hGuiTI3U6XjelBbPf4YqG,Peak,52.0,8883.0,,
0hiQvlWSSTr7n1kc1X2Lus,Total,,18673671.0,,
0hiQvlWSSTr7n1kc1X2Lus,Peak,54.0,34763.0,,
0hmRGjLznEdlzBf80x37Xt,Total,,35042.0,,
0hmRGjLznEdlzBf80x37Xt,Peak,164.0,3089.0,,
0ibp5h8QATkvC6P5cO5TUV,Total,,5119532.0,,
0ibp5h8QATkvC6P5cO5TUV,Peak,26.0,32011.0,,
0jV9S5sUnQSEvwMSXQ2u4l,Total,,764724.0,,
0jV9S5sUnQSEvwMSXQ2u4l,Peak,21.0,49871.0,,
0kHgteR4TV4LO80wrasDSR,Total,,27012847.0,,
0kHgteR4TV4LO80wrasDSR,Peak,5.0,140191.0,,
0ljbDAWHXvX6Fbqy2qs98U,Total,,1450966.0,,
0ljbDAWHXvX6Fbqy2qs98U,Peak,5.0,22594.0,,
0mc8HGMSYoMxRuJma5bslY,Total,,74776.0,,
0mc8HGMSYoMxRuJma5bslY,Peak,74.0,8855.0,,
0mhfW8VkkCQBUSDqHJKJnA,Total,,243173.0,,
0mhfW8VkkCQBUSDqHJKJnA,Peak,51.0,29327.0,,
0mjCVMElNTISeFwF2VdWJ3,Total,,1759032.0,,
0mjCVMElNTISeFwF2VdWJ3,Peak,69.0,20465.0,,
0o3rCh03ubOUAEI972qpU5,Total,,900668.0,,
0o3rCh03ubOUAEI972qpU5,Peak,88.0,30675.0,,
0oL2jCTf9P9a7flY5mCpYu,Total,,2712264.0,,
0oL2jCTf9P9a7flY5mCpYu,Peak,78.0,38961.0,,
0oSc7X1uRQGuEqNRtXEeQL,Total,,8710686.0,,
0oSc7X1uRQGuEqNRtXEeQL,Peak,1.0,347143.0,,
0pavLg3wbL6PVXAgXoWv4S,Total,,372079.0,,
0pavLg3wbL6PVXAgXoWv4S,Peak,77.0,40792.0,,
0phm7GkRTCRI9OQqTJvG6q,Total,,603136.0,,
0phm7GkRTCRI9OQqTJvG6q,Peak,21.0,44526.0,,
0piLGIj0C7RR4B2gowEqmO,Total,,1254024.0,,
0piLGIj0C7RR4B2gowEqmO,Peak,63.0,5503.0,,
0s3OUtMwTA79PkhDHUtfp3,Total,,97990.0,,
0s3OUtMwTA79PkhDHUtfp3,Peak,61.0,4566.0,,
0s7RyyUlQfd8mnnboHe18n,Total,,17890396.0,,
0s7RyyUlQfd8mnnboHe18n,Peak,15.0,99130.0,,
0s7wXifcEHCo9OgELbNv8d,Total,,1397467.0,,
0s7wXifcEHCo9OgELbNv8d,Peak,3.0,5249.0,,
0sVd1ZavOfbqd5AHspc1Tr,Total,,1467485.0,,
0sVd1ZavOfbqd5AHspc1Tr,Peak,74.0,16000.0,,
0tGmDUHDoT8pxYhgAT3yNG,Total,,10756504.0,,
0tGmDUHDoT8pxYhgAT3yNG,Peak,6.0,143413.0,,
0tRpWjAPI6SCNcOMQGw4z5,Total,,195068.0,,
0tRpWjAPI6SCNcOMQGw4z5,Peak,57.0,28176.0,,
0tfMfqHC3Pl6DG8kcIjXq9,Total,,64896.0,,
0tfMfqHC3Pl6DG8kcIjXq9,Peak,175.0,16805.0,,
0uRpE3YtszcI37nUSBusmq,Total,,104223.0,,
0uRpE3YtszcI37nUSBusmq,Peak,59.0,16998.0,,
0vXAYEWak7KiyGdbth8Gz6,Total,,2961891.0,,
0vXAYEWak7KiyGdbth8Gz6,Peak,68.0,44356.0,,
0x5BqH8iC2Y2lTMxAkNAna,Total,,1838675.0,,
0x5BqH8iC2Y2lTMxAkNAna,Peak,14.0,55457.0,,
0xi7bCx9m2rgPbCN6Xhlel,Total,,244947.0,,
0xi7bCx9m2rgPbCN6Xhlel,Peak,102.0,10702.0,,
0y4JreJemfzXhr3NkKCm5g,Total,,123398.0,,
0y4JreJemfzXhr3NkKCm5g,Peak,74.0,21228.0,,
0ymILt2M0bSmIr6wQzodN0,Total,,296229.0,,
0ymILt2M0bSmIr6wQzodN0,Peak,65.0,13195.0,,
0zCGKGZB5aySnQQSHWRGIT,Total,,941927.0,,
0zCGKGZB5aySnQQSHWRGIT,Peak,6.0,28149.0,,
10AZ3ChoIGMxvcCoFsoFjf,Total,,489282.0,,
10AZ3ChoIGMxvcCoFsoFjf,Peak,59.0,35472.0,,
11OxuU5y7ebAJyKaY8dOl0,Total,,3533342.0,,
11OxuU5y7ebAJyKaY8dOl0,Peak,88.0,26307.0,,
11hcyWq7qSwBE3bvv5Ialn,Total,,9038819.0,,
11hcyWq7qSwBE3bvv5Ialn,Peak,58.0,27045.0,,
129tzbtZ8PRLVo33ymZigS,Total,,42284.0,,
129tzbtZ8PRLVo33ymZigS,Peak,164.0,4164.0,,
12rIwDpMKwx77nV5O998nB,Total,,2554006.0,,
12rIwDpMKwx77nV5O998nB,Peak,37.0,61363.0,,
12t0f9NV6eEQXX8SPaI6AJ,Total,,252803.0,,
12t0f9NV6eEQXX8SPaI6AJ,Peak,79.0,11970.0,,
12u5BtXNMTifuzasyXzbOU,Total,,46900.0,,
12u5BtXNMTifuzasyXzbOU,Peak,187.0,24179.0,,
1465dD5VklIYHkKfcfirkU,Total,,2411553.0,,
1465dD5VklIYHkKfcfirkU,Peak,27.0,67969.0,,
1503Da6qbgNifRnRwIjtZe,Total,,4704506.0,,
1503Da6qbgNifRnRwIjtZe,Peak,1.0,22697.0,,
15yC0BCinDyknKpjk0VLku,Total,,61246.0,,
15yC0BCinDyknKpjk0VLku,Peak,88.0,16218.0,,
170CNv2CAZn8wg6GxvHXYC,Total,,510904.0,,
170CNv2CAZn8wg6GxvHXYC,Peak,135.0,17382.0,,
17vw2n25C8g7KKCilJ3pER,Total,,1424958.0,,
17vw2n25C8g7KKCilJ3pER,Peak,62.0,18085.0,,
18iADruKMXIloyA9vCJXFE,Total,,7171594.0,,
18iADruKMXIloyA9vCJXFE,Peak,51.0,42200.0,,
193luTcDfusSUv3yqs1gGj,Total,,1827600.0,,
193luTcDfusSUv3yqs1gGj,Peak,8.0,85150.0,,
194xS2oTIYL5u1IK0Q0oj0,Total,,1174242.0,,
194xS2oTIYL5u1IK0Q0oj0,Peak,54.0,24937.0,,
1DkYLzjwHaesQYObT2c3X2,Total,,322902.0,,
1DkYLzjwHaesQYObT2c3X2,Peak,52.0,35287.0,,
1DmMJL7KrTEC5MDTvYpfLD,Total,,219209.0,,
1DmMJL7KrTEC5MDTvYpfLD,Peak,39.0,15401.0,,
1Dyf0sRNi4bns4TeWgKpVY,Total,,4239397.0,,
1Dyf0sRNi4bns4TeWgKpVY,Peak,33.0,14455.0,,
1EmMFSLRVkOszCa4ul9z0F,Total,,32658739.0,,
1EmMFSLRVkOszCa4ul9z0F,Peak,1.0,52530.0,,
1GJ3suxtUVaguVQRemw6Zp,Total,,15723853.0,,
1GJ3suxtUVaguVQRemw6Zp,Peak,66.0,43916.0,,
1Gqm6KaobG2A1mFVjGnJsS,Total,,210249.0,,
1Gqm6KaobG2A1mFVjGnJsS,Peak,105.0,31359.0,,
1HWa2i5mZzs2VImVqwwfuI,Total,,1837218.0,,
1HWa2i5mZzs2VImVqwwfuI,Peak,56.0,24989.0,,
1He7z9P4RbIAa0rNCUaIMN,Total,,745623.0,,
1He7z9P4RbIAa0rNCUaIMN,Peak,55.0,40479.0,,
1IyaXs95EqH8emANUrhRwH,Total,,222023.0,,
1IyaXs95EqH8emANUrhRwH,Peak,85.0,4826.0,,
1J12HjUuXfJnaUdubTEzSR,Total,,30848878.0,,
1J12HjUuXfJnaUdubTEzSR,Peak,30.0,68531.0,,
1K0HQ30Wc11okzlcnFA7Ub,Total,,41532696.0,,
1K0HQ30Wc11okzlcnFA7Ub,Peak,7.0,142991.0,,
1K3CXUYKhLYN7koLW5WQjX,Total,,12853856.0,,
1K3CXUYKhLYN7koLW5WQjX,Peak,3.0,105794.0,,
1LxaXT8hwdBWSNpOqTjF8R,Total,,4957308.0,,
1LxaXT8hwdBWSNpOqTjF8R,Peak,12.0,64470.0,,
1MU2oGnL6EdBDQ02wVUOMX,Total,,1704.0,,
1MU2oGnL6EdBDQ02wVUOMX,Peak,38.0,1704.0,,
1MiJk3dXC5jzhvLFP0dUM7,Total,,33677971.0,,
1MiJk3dXC5jzhvLFP0dUM7,Peak,1.0,55323.0,,
1OcT17F9VeSAvLBlk4GBc8,Total,,200301.0,,
1OcT17F9VeSAvLBlk4GBc8,Peak,150.0,27783.0,,
1QKaj0g8pammcGn0JU8nnd,Total,,856210.0,,
1QKaj0g8pammcGn0JU8nnd,Peak,12.0,52072.0,,
1QwSqNlknVSTdmmtjsOGM9,Total,,535072.0,,
1QwSqNlknVSTdmmtjsOGM9,Peak,32.0,18122.0,,
1R1AFI3iNOYr0pGHwjFQBG,Total,,8682162.0,,
1R1AFI3iNOYr0pGHwjFQBG,Peak,85.0,41761.0,,
1RGA13K66cABN7nYek6WNk,Total,,5629387.0,,
1RGA13K66cABN7nYek6WNk,Peak,18.0,43030.0,,
1RQ4efnLx0zyowptKD5JEa,Total,,153951.0,,
1RQ4efnLx0zyowptKD5JEa,Peak,134.0,28338.0,,
1RRMwNycLH4pOgpdLj0iFk,Total,,140650.0,,
1RRMwNycLH4pOgpdLj0iFk,Peak,13.0,3436.0,,
1Rl6XZjjYq7zBJGALyGTZH,Total,,996892.0,,
1Rl6XZjjYq7zBJGALyGTZH,Peak,88.0,30675.0,,
1SIbk8ESYxiPiYjzLG01m4,Total,,180297.0,,
1SIbk8ESYxiPiYjzLG01m4,Peak,79.0,22549.0,,
1SzlLbTE7hTs75M2R1a1Tg,Total,,2779254.0,,
1SzlLbTE7hTs75M2R1a1Tg,Peak,24.0,13405.0,,
1TJtZKZFq2rdh9Wfpm15Nw,Total,,788186.0,,
1TJtZKZFq2rdh9Wfpm15Nw,Peak,18.0,49535.0,,
1TcmqSx576eBcuTxTtcEAk,Total,,2855546.0,,
1TcmqSx576eBcuTxTtcEAk,Peak,37.0,60053.0,,
1UDAnignfiklanSQ6MfPUE,Total,,108126.0,,
1UDAnignfiklanSQ6MfPUE,Peak,58.0,17136.0,,
1UL2QMgWPeNCJhznvr99Jk,Total,,405351.0,,
1UL2QMgWPeNCJhznvr99Jk,Peak,116.0,6164.0,,
1UQNU5O9VttUgO16pxUnjw,Total,,8488888.0,,
1UQNU5O9VttUgO16pxUnjw,Peak,47.0,49882.0,,
1Vla7vXcM0zimotYpresDT,Total,,10331925.0,,
1Vla7vXcM0zimotYpresDT,Peak,6.0,89710.0,,
1W5kZCi3DyAwUu1flTIHdZ,Total,,184281.0,,
1W5kZCi3DyAwUu1flTIHdZ,Peak,137.0,19304.0,,
1WCAkmmTM06in2ojuQ9CK5,Total,,1556438.0,,
1WCAkmmTM06in2ojuQ9CK5,Peak,6.0,46942.0,,
1X0cRJUAsFhEnaBhs4H7Yj,Total,,80352.0,,
1X0cRJUAsFhEnaBhs4H7Yj,Peak,72.0,9740.0,,
