id,TotalStreamCounts,PeakStreamCounts,PeakPosition
014DA3BdnmD3kI5pBogH7c,21656904.0,32783.0,4.0
015GG73Q1VmvLAiPIF1w8O,56293.0,31808.0,126.0
015cWxefajYwEUZodBvpfn,1056112.0,61730.0,36.0
01WDJ9gcaXFuNzY5ir9CaE,1713175.0,31330.0,3.0
031jyNUkkD02vrkgZDGJxu,7621754.0,44831.0,1.0
04Mm3BineGdy0oNv8NivQT,2167298.0,50469.0,2.0
04bm7NsIhRfTlLGDoKMEw8,3508535.0,43016.0,2.0
05X3a0YGmS1rbH50aL8lGF,14491428.0,45148.0,7.0
05mKTB04qMaCRHwuVf9HGv,217176.0,13207.0,62.0
0669gFIK8dYK9GGQ0K0QNF,10421833.0,142778.0,5.0
06mzDTYkBVBfWlzinhom9I,40979.0,13833.0,98.0
07b849p3xuq03EdlAo4CKX,6839873.0,23907.0,33.0
07d8eaOuAWdC0DANq3tdPd,7062286.0,92294.0,12.0
07tiPBhMqiKqHowwqDBtfK,4718465.0,55631.0,20.0
08GUMwJRpisuxHGyRzoSuu,8362940.0,98721.0,9.0
08RDjwmSMLc6QPmxrxXDq0,469904.0,16123.0,29.0
0AJi38NumMDXqo8pRw6zdh,11553828.0,43268.0,3.0
0B1ZnYwYefkNhZeE8ZQpv5,6190115.0,23540.0,46.0
0Bk064jKjWtfdOD8UkcImR,6359001.0,12212.0,17.0
0Cy7uOfTjJrmHkNEPBBZxf,10046123.0,55827.0,1.0
0E13SojrSD7WpPyvzqZaKR,59879.0,4918.0,135.0
0Ekfndt5fc7A4toIU87X0X,2648.0,2648.0,189.0
0HAfl1uPBf5qTMiuAi6Ym7,6070039.0,75603.0,26.0
0HH3DAz5feqJmDA50yQ52M,213068.0,15215.0,74.0
0IaQqjhhn7Ls6jSQX2MoQ1,180658.0,31136.0,113.0
0J2otOvMdg62gVMMjwOvSK,2783758.0,19305.0,6.0
0JKEP4dB1riE6l7Kq5kJm1,1382040.0,44031.0,3.0
0KnWLhf5GqPEC4m7sHhxrY,170303.0,18849.0,134.0
0Lf0ydJp4nbcEkYgPtIUuD,4269147.0,35926.0,122.0
0MHnLceZUrdtNGydSnBM6J,15689.0,3531.0,87.0
0MOxfxgqBnCmy63x58ChdP,56670.0,5996.0,116.0
0N0mWZBWhAcb0SIqYmv00k,549846.0,50816.0,32.0
0NTtPK7yNN4xT1YQTMxu9y,31034.0,3081.0,184.0
0NbEWzChj7p6A6ZiyPvEot,251991.0,10851.0,69.0
0NbOsvRJuzKhaDlPxTNFih,47902.0,3576.0,8.0
0OIed6UFpfT2nW4BffD7Js,1436634.0,86051.0,8.0
0ON38MgDpAMcRC9ULx7NOf,86781.0,15496.0,78.0
0OYyivKo7eLtmHzYagW60S,669964.0,8647.0,111.0
0Pf2hR940vgS9iVk4CriZX,451040.0,24259.0,64.0
0QIBqBajZLLcWfL6mpVsN3,3040151.0,53130.0,45.0
0R6NfOiLzLj4O5VbYSJAjf,,,
0RKggS4he8LozKqMv09IrM,2922831.0,54474.0,24.0
0RRaMSF6sPNAvMTntUiv8m,461601.0,34103.0,71.0
0SLzsfxED15vyUccX4bCqo,10543578.0,153506.0,4.0
0SMpkybKsjUeONDdUCW69e,736545.0,28807.0,104.0
0SipHvQl82LyuU4t9Zkf8Z,583464.0,25163.0,124.0
0SmQ0UWeiHKQtxUej4Rem6,10304283.0,39367.0,5.0
0TAEZOaoZx5LBXEkePNrt4,297587.0,21572.0,23.0
0TOsszupHDNUvzadopZv3A,39254.0,8656.0,143.0
0TTJufXrJgRZUUV7brd2hT,215475.0,14663.0,26.0
0TcbY7JJzalPExhhqpgAQM,538667.0,28666.0,94.0
0UkWvPZauWiBjWGuXFhZQn,549143.0,6282.0,122.0
0VBv6oyMgeEBOIysaSV9aE,63544.0,15315.0,136.0
0WjdaO545q9Qn4SQtzRQu9,853505.0,48495.0,52.0
0X28PqBpbQhWdi4usYw0w5,17666456.0,185410.0,1.0
0Y2ipMuhAlOnIkTXcCKWlL,267801.0,32809.0,97.0
0ZJcKRLc0dZp24G6MkvSnq,31660.0,2509.0,19.0
0ZP4bO2ywAv44HiEzzHaq5,9638859.0,47044.0,2.0
0aOOB0EuwnWuoAqzR4THA9,482296.0,22604.0,9.0
0b3N9S5FHJ4h9k7IsKDVSy,733419.0,6760.0,91.0
0bgJPIvefuRnEU4MNJuJSA,4660353.0,89379.0,1.0
0bqiS4Vi6vWtOj9woYfAJM,233006.0,29185.0,87.0
0d0X8B4ZahEeCBdJ6JHPeN,86548.0,18364.0,101.0
0d6dbFvKczX1Us3J7TsMMv,8800161.0,28229.0,7.0
0dAAZHmjRcE3yEjeBZQvCg,1190598.0,49687.0,14.0
0dBKcPEAsdxWJsqNDNHcPz,8816188.0,94799.0,13.0
0dHUKYXP9PJMN0RpR9dpFR,6906948.0,40918.0,1.0
0eM8iGaE97UCf9yYbDiMA4,701796.0,29019.0,91.0
0ezCZF82GYZFV1W6W1os7N,3379447.0,92205.0,9.0
0f4VzzQxojITMkyHY6LCci,497218.0,25587.0,107.0
0g7d8Y9Y2BP8qFZDzngnSz,792044.0,36473.0,43.0
0gKSm3EHJhyFeolcmO6mYS,74110.0,6662.0,169.0
0glDqpRJ9WyPHI1AXk0GcD,31485.0,7276.0,95.0
0glPN37HvVqCUh1qCWBKo7,364495.0,25544.0,14.0
0gzpqwLf1jhNjnSJEyweAX,21064668.0,67056.0,9.0
0hGuiTI3U6XjelBbPf4YqG,357409.0,8883.0,52.0
0hiQvlWSSTr7n1kc1X2Lus,18673671.0,34763.0,54.0
0hmRGjLznEdlzBf80x37Xt,35042.0,3089.0,164.0
0ibp5h8QATkvC6P5cO5TUV,5119532.0,32011.0,26.0
0jV9S5sUnQSEvwMSXQ2u4l,764724.0,49871.0,21.0
0kHgteR4TV4LO80wrasDSR,27012847.0,140191.0,5.0
0ljbDAWHXvX6Fbqy2qs98U,1450966.0,22594.0,5.0
0mc8HGMSYoMxRuJma5bslY,74776.0,8855.0,74.0
0mhfW8VkkCQBUSDqHJKJnA,243173.0,29327.0,51.0
0mjCVMElNTISeFwF2VdWJ3,1759032.0,20465.0,69.0
0o3rCh03ubOUAEI972qpU5,900668.0,30675.0,88.0
0oL2jCTf9P9a7flY5mCpYu,2712264.0,38961.0,78.0
0oSc7X1uRQGuEqNRtXEeQL,8710686.0,347143.0,1.0
0pavLg3wbL6PVXAgXoWv4S,372079.0,40792.0,77.0
0phm7GkRTCRI9OQqTJvG6q,603136.0,44526.0,21.0
0piLGIj0C7RR4B2gowEqmO,1254024.0,5503.0,63.0
0s3OUtMwTA79PkhDHUtfp3,97990.0,4566.0,61.0
0s7RyyUlQfd8mnnboHe18n,17890396.0,99130.0,15.0
0s7wXifcEHCo9OgELbNv8d,1397467.0,5249.0,3.0
0sVd1ZavOfbqd5AHspc1Tr,1467485.0,16000.0,74.0
0tGmDUHDoT8pxYhgAT3yNG,10756504.0,143413.0,6.0
0tRpWjAPI6SCNcOMQGw4z5,195068.0,28176.0,57.0
0tfMfqHC3Pl6DG8kcIjXq9,64896.0,16805.0,175.0
0uRpE3YtszcI37nUSBusmq,104223.0,16998.0,59.0
0vXAYEWak7KiyGdbth8Gz6,2961891.0,44356.0,68.0
0x5BqH8iC2Y2lTMxAkNAna,1838675.0,55457.0,14.0
0xi7bCx9m2rgPbCN6Xhlel,244947.0,10702.0,102.0
0y4JreJemfzXhr3NkKCm5g,123398.0,21228.0,74.0
0ymILt2M0bSmIr6wQzodN0,296229.0,13195.0,65.0
0zCGKGZB5aySnQQSHWRGIT,941927.0,28149.0,6.0
10AZ3ChoIGMxvcCoFsoFjf,489282.0,35472.0,59.0
11OxuU5y7ebAJyKaY8dOl0,3533342.0,26307.0,88.0
11hcyWq7qSwBE3bvv5Ialn,9038819.0,27045.0,58.0
129tzbtZ8PRLVo33ymZigS,42284.0,4164.0,164.0
12rIwDpMKwx77nV5O998nB,2554006.0,61363.0,37.0
12t0f9NV6eEQXX8SPaI6AJ,252803.0,11970.0,79.0
12u5BtXNMTifuzasyXzbOU,46900.0,24179.0,187.0
1465dD5VklIYHkKfcfirkU,2411553.0,67969.0,27.0
1503Da6qbgNifRnRwIjtZe,4704506.0,22697.0,1.0
15yC0BCinDyknKpjk0VLku,61246.0,16218.0,88.0
170CNv2CAZn8wg6GxvHXYC,510904.0,17382.0,135.0
17vw2n25C8g7KKCilJ3pER,1424958.0,18085.0,62.0
18iADruKMXIloyA9vCJXFE,7171594.0,42200.0,51.0
193luTcDfusSUv3yqs1gGj,1827600.0,85150.0,8.0
194xS2oTIYL5u1IK0Q0oj0,1174242.0,24937.0,54.0
1DkYLzjwHaesQYObT2c3X2,322902.0,35287.0,52.0
1DmMJL7KrTEC5MDTvYpfLD,219209.0,15401.0,39.0
1Dyf0sRNi4bns4TeWgKpVY,4239397.0,14455.0,33.0
1EmMFSLRVkOszCa4ul9z0F,32658739.0,52530.0,1.0
1GJ3suxtUVaguVQRemw6Zp,15723853.0,43916.0,66.0
1Gqm6KaobG2A1mFVjGnJsS,210249.0,31359.0,105.0
1HWa2i5mZzs2VImVqwwfuI,1837218.0,24989.0,56.0
1He7z9P4RbIAa0rNCUaIMN,745623.0,40479.0,55.0
1IyaXs95EqH8emANUrhRwH,222023.0,4826.0,85.0
1J12HjUuXfJnaUdubTEzSR,30848878.0,68531.0,30.0
1K0HQ30Wc11okzlcnFA7Ub,41532696.0,142991.0,7.0
1K3CXUYKhLYN7koLW5WQjX,12853856.0,105794.0,3.0
1LxaXT8hwdBWSNpOqTjF8R,4957308.0,64470.0,12.0
1MU2oGnL6EdBDQ02wVUOMX,1704.0,1704.0,38.0
1MiJk3dXC5jzhvLFP0dUM7,33677971.0,55323.0,1.0
1OcT17F9VeSAvLBlk4GBc8,200301.0,27783.0,150.0
1QKaj0g8pammcGn0JU8nnd,856210.0,52072.0,12.0
1QwSqNlknVSTdmmtjsOGM9,535072.0,18122.0,32.0
1R1AFI3iNOYr0pGHwjFQBG,8682162.0,41761.0,85.0
1RGA13K66cABN7nYek6WNk,5629387.0,43030.0,18.0
1RQ4efnLx0zyowptKD5JEa,153951.0,28338.0,134.0
