id,TotalStreamCounts,PeakStreamCounts,PeakPosition
014DA3BdnmD3kI5pBogH7c,21575194.0,186191.0,5.0
015GG73Q1VmvLAiPIF1w8O,238138.0,238138.0,108.0
015cWxefajYwEUZodBvpfn,1048133.0,375774.0,44.0
01WDJ9gcaXFuNzY5ir9CaE,1750851.0,134694.0,5.0
031jyNUkkD02vrkgZDGJxu,7678762.0,210493.0,1.0
04Mm3BineGdy0oNv8NivQT,2149106.0,281103.0,6.0
04bm7NsIhRfTlLGDoKMEw8,3440230.0,259784.0,5.0
05X3a0YGmS1rbH50aL8lGF,14549305.0,290578.0,7.0
05mKTB04qMaCRHwuVf9HGv,198262.0,74602.0,80.0
0669gFIK8dYK9GGQ0K0QNF,10433484.0,794113.0,7.0
06mzDTYkBVBfWlzinhom9I,61567.0,61567.0,181.0
07b849p3xuq03EdlAo4CKX,6635886.0,131711.0,35.0
07d8eaOuAWdC0DANq3tdPd,7068223.0,573422.0,14.0
07tiPBhMqiKqHowwqDBtfK,4582116.0,344898.0,26.0
08GUMwJRpisuxHGyRzoSuu,8203346.0,603389.0,12.0
08RDjwmSMLc6QPmxrxXDq0,446204.0,106200.0,41.0
09eYSoem8gQWelNj1G9Aqa,4698.0,4698.0,193.0
0AJi38NumMDXqo8pRw6zdh,11387427.0,278162.0,5.0
0B1ZnYwYefkNhZeE8ZQpv5,6261786.0,137478.0,57.0
0BX2eDMZJrGzApf4ZGXrFi,15709026.0,794218.0,6.0
0BX2eDMZJrGzApf4ZGXrFi,15709026.0,126177.0,5.0
0Bk064jKjWtfdOD8UkcImR,6437342.0,82007.0,19.0
0Cy7uOfTjJrmHkNEPBBZxf,9822954.0,372198.0,1.0
0E13SojrSD7WpPyvzqZaKR,56976.0,29372.0,172.0
0Ekfndt5fc7A4toIU87X0X,19784.0,19784.0,168.0
0HAfl1uPBf5qTMiuAi6Ym7,6092504.0,423305.0,34.0
0HH3DAz5feqJmDA50yQ52M,181102.0,98705.0,86.0
0IaQqjhhn7Ls6jSQX2MoQ1,151605.0,151605.0,196.0
0J2otOvMdg62gVMMjwOvSK,2812940.0,126072.0,7.0
0JKEP4dB1riE6l7Kq5kJm1,1377282.0,267615.0,3.0
0KnWLhf5GqPEC4m7sHhxrY,219657.0,110222.0,190.0
0Lf0ydJp4nbcEkYgPtIUuD,4236026.0,205822.0,147.0
0MHnLceZUrdtNGydSnBM6J,17755.0,17755.0,161.0
0MOxfxgqBnCmy63x58ChdP,66086.0,33943.0,155.0
0N0mWZBWhAcb0SIqYmv00k,421378.0,274641.0,59.0
