id,name,popularity,followers,genres,type
08xn7sYY4KworP8Vc3GoiU,Orinn,56,564203,"['vinahouse', 'vietnamese lo-fi', 'v-pop', 'lo-fi']",artist
0jF7Zlz8P5p74zcH7YwcMU,Anh Quân Idol,45,37760,"['vietnamese lo-fi', 'vinahouse', 'v-pop', 'lo-fi']",artist
7MsHVZKh1TeKgGqm65kZnY,Vũ Duy Khánh,38,22987,"['vinahouse', 'v-pop', 'vietnamese bolero', 'vietnamese lo-fi']",artist
7JpgJSzLFVxFcMIRUhq7vV,Lương Bích Hữu,34,28300,"['vinahouse', 'v-pop', 'vietnamese bolero']",artist
3Po0bFynB4xcPkXmyw3CSl,Moi DJ,17,2569,"['vinahouse', 'v-pop']",artist
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,68,2206321,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']",artist
3diftVOq7aEIebXKkC34oR,tlinh,66,1445367,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']",artist
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,65,6549380,"['v-pop', 'vinahouse', 'vietnamese hip hop']",artist
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,64,583384,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']",artist
0ZbgKh0FgPYeFP38nVaEGp,Obito,63,928736,"['v-pop', 'vietnamese hip hop', 'vietnam indie']",artist
57g2v7gJZepcwsuwssIfZs,Vũ.,63,2411921,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",artist
1W2pigH6UYwuTuFbwoSfVZ,RHYDER,63,527748,"['v-pop', 'vietnamese hip hop']",artist
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,63,1013741,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']",artist
1L1VfizWn4DkFt602yD80U,ERIK,63,1024666,"['v-pop', 'vinahouse', 'vietnam indie']",artist
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,62,1169250,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",artist
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,62,1131211,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']",artist
4fg8aMZ23d2bxKz7r2vt9v,Negav,62,298661,"['v-pop', 'vietnamese hip hop', 'vietnam indie']",artist
1cPpd989kghzlZqfpP4KwL,RAP VIỆT,62,1899663,"['vietnamese hip hop', 'v-pop']",artist
1LEtM3AleYg1xabW6CRkpi,Đen,61,4296491,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",artist
0slOzRzTQb1RBBVJbvRITP,Quang Hùng MasterD,61,380936,"['v-pop', 'vinahouse', 'vietnamese hip hop']",artist
6d0dLenjy5CnR5ZMn2agiV,GREY D,60,424331,"['v-pop', 'vietnam indie', 'vietnamese hip hop']",artist
1WvNgEoB66jmHodcj15Zi9,B Ray,60,1011662,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']",artist
3rjcQ5VIWCN4q7UFetzdeO,JustaTee,60,1124085,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']",artist
2nSO7JYDbJrYbJmP39qUzj,Binz,59,1194180,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']",artist
13c4ijEkXNvEFoxGxwp5Su,Pháp Kiều,59,205733,"['v-pop', 'vietnamese hip hop']",artist
