id,date,vn_position,vn_stream_count,global_position,global_stream_count
014DA3BdnmD3kI5pBogH7c,Total,,21575194.0,,
014DA3BdnmD3kI5pBogH7c,Peak,5.0,186191.0,,
015GG73Q1VmvLAiPIF1w8O,Total,,238138.0,,
015GG73Q1VmvLAiPIF1w8O,Peak,108.0,238138.0,,
015cWxefajYwEUZodBvpfn,Total,,1048133.0,,
015cWxefajYwEUZodBvpfn,Peak,44.0,375774.0,,
01WDJ9gcaXFuNzY5ir9CaE,Total,,1750851.0,,
01WDJ9gcaXFuNzY5ir9CaE,Peak,5.0,134694.0,,
031jyNUkkD02vrkgZDGJxu,Total,,7678762.0,,
031jyNUkkD02vrkgZDGJxu,Peak,1.0,210493.0,,
04Mm3BineGdy0oNv8NivQT,Total,,2149106.0,,
04Mm3BineGdy0oNv8NivQT,Peak,6.0,281103.0,,
04bm7NsIhRfTlLGDoKMEw8,Total,,3440230.0,,
04bm7NsIhRfTlLGDoKMEw8,Peak,5.0,259784.0,,
05X3a0YGmS1rbH50aL8lGF,Total,,14549305.0,,
05X3a0YGmS1rbH50aL8lGF,Peak,7.0,290578.0,,
05mKTB04qMaCRHwuVf9HGv,Total,,198262.0,,
05mKTB04qMaCRHwuVf9HGv,Peak,80.0,74602.0,,
0669gFIK8dYK9GGQ0K0QNF,Total,,10433484.0,,
0669gFIK8dYK9GGQ0K0QNF,Peak,7.0,794113.0,,
06mzDTYkBVBfWlzinhom9I,Total,,61567.0,,
06mzDTYkBVBfWlzinhom9I,Peak,181.0,61567.0,,
07b849p3xuq03EdlAo4CKX,Total,,6635886.0,,
07b849p3xuq03EdlAo4CKX,Peak,35.0,131711.0,,
07d8eaOuAWdC0DANq3tdPd,Total,,7068223.0,,
07d8eaOuAWdC0DANq3tdPd,Peak,14.0,573422.0,,
07tiPBhMqiKqHowwqDBtfK,Total,,4582116.0,,
07tiPBhMqiKqHowwqDBtfK,Peak,26.0,344898.0,,
08GUMwJRpisuxHGyRzoSuu,Total,,8203346.0,,
08GUMwJRpisuxHGyRzoSuu,Peak,12.0,603389.0,,
08RDjwmSMLc6QPmxrxXDq0,Total,,446204.0,,
08RDjwmSMLc6QPmxrxXDq0,Peak,41.0,106200.0,,
09eYSoem8gQWelNj1G9Aqa,Total,,4698.0,,
09eYSoem8gQWelNj1G9Aqa,Peak,193.0,4698.0,,
0AJi38NumMDXqo8pRw6zdh,Total,,11387427.0,,
0AJi38NumMDXqo8pRw6zdh,Peak,5.0,278162.0,,
0B1ZnYwYefkNhZeE8ZQpv5,Total,,6261786.0,,
0B1ZnYwYefkNhZeE8ZQpv5,Peak,57.0,137478.0,,
0BX2eDMZJrGzApf4ZGXrFi,Total,,15709026.0,,
0BX2eDMZJrGzApf4ZGXrFi,Peak,6.0,794218.0,,
0BX2eDMZJrGzApf4ZGXrFi,Peak,5.0,126177.0,,
0Bk064jKjWtfdOD8UkcImR,Total,,6437342.0,,
0Bk064jKjWtfdOD8UkcImR,Peak,19.0,82007.0,,
0Cy7uOfTjJrmHkNEPBBZxf,Total,,9822954.0,,
0Cy7uOfTjJrmHkNEPBBZxf,Peak,1.0,372198.0,,
0E13SojrSD7WpPyvzqZaKR,Total,,56976.0,,
0E13SojrSD7WpPyvzqZaKR,Peak,172.0,29372.0,,
0Ekfndt5fc7A4toIU87X0X,Total,,19784.0,,
0Ekfndt5fc7A4toIU87X0X,Peak,168.0,19784.0,,
