album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Đi Về Nhà,single,50,"['Đen', 'JustaTee']",1,200000,False,7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,61,1,2020-12-20,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",40920596.0
CUA,single,40,"['MANBO', 'HIEUTHUHAI']",1,193475,True,0ReId5SRMspb6ISw0rBsBN,CUA,50,1,2020-04-05,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",13677572.0
Hẹn Gặp Em Dưới Ánh Trăng,single,53,"['MANBO', 'HIEUTHUHAI', 'HURRYKNG']",1,222000,False,0s7RyyUlQfd8mnnboHe18n,Hẹn Gặp Em Dưới Ánh Trăng,63,1,2020-09-25,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",26714031.0
24h,single,41,['Lyly'],1,257000,False,4inMQ83GNpQ2OHDredH5hW,24h,51,1,2020-10-28,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",13689452.0
dreaAMEE,album,53,['AMEE'],1,216500,False,5tdz7T4hTxA1ipJMBe24uX,"ex's hate me, Pt.2",55,7,2020-06-20,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",22623509.0
Đường Tôi Chở Em Về,single,47,['buitruonglinh'],1,266000,False,27F22WcGDyl4Z2KylVJkXL,Đường Tôi Chở Em Về,57,1,2020-07-03,"['v-pop', 'vinahouse', 'vietnam indie', 'vietnamese lo-fi']",19129672.0
Blue Tequila,single,42,['Táo'],1,202624,False,4MRXbWH2BzuUZcoabj6HRh,Blue Tequila,52,1,2020-08-27,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",20057093.0
Có Chắc Yêu Là Đây,single,45,['Sơn Tùng M-TP'],1,202105,False,6aaNsCMWPBaUuJE1grH6Po,Có Chắc Yêu Là Đây,55,1,2020-07-06,"['v-pop', 'vinahouse', 'vietnamese hip hop']",31219156.0
The Playah,single,45,['SOOBIN'],1,225358,False,0SmQ0UWeiHKQtxUej4Rem6,Tháng Năm,54,3,2020-12-15,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",20029349.0
Cứ Chill Thôi,single,41,"['Chillies', 'SUNI', 'Rhymastic']",1,270000,False,014DA3BdnmD3kI5pBogH7c,Cứ Chill Thôi,51,1,2020-07-11,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",37074948.0
